date,close,volume,open,high,low
2017/1/5,116.61,22115100,115.92,116.8642,115.81
2017/1/6,117.91,31714820,116.78,118.16,116.47
2017/1/9,118.99,33420290,117.95,119.43,117.94
2017/1/10,119.11,24432660,118.77,119.38,118.3
2017/1/11,119.75,27453130,118.74,119.93,118.6
2017/1/12,119.25,27057550,118.895,119.3,118.21
2017/1/13,119.04,26083030,119.11,119.62,118.81
2017/1/17,120,34412090,118.34,120.24,118.22
2017/1/18,119.99,23687350,120,120.5,119.71
2017/1/19,119.78,25554290,119.4,120.09,119.37
2017/1/20,120,29922650,120.45,120.45,119.7346
2017/1/23,120.08,21982000,120,120.81,119.77
2017/1/24,119.97,23191150,119.55,120.1,119.5
2017/1/25,121.88,32417410,120.42,122.1,120.28
2017/1/26,121.94,26320740,121.67,122.44,121.6
2017/1/27,121.95,20495340,122.14,122.35,121.6
2017/1/30,121.63,30327110,120.93,121.63,120.66
2017/1/31,121.35,47767760,121.15,121.39,120.62
2017/2/1,128.75,111837300,127.03,130.49,127.01
2017/2/2,128.53,33671250,127.975,129.39,127.78
2017/2/3,129.08,24460160,128.31,129.19,128.16
2017/2/6,130.29,26784530,129.13,130.5,128.9
2017/2/7,131.53,38158410,130.54,132.09,130.45
2017/2/8,132.04,22941650,131.35,132.22,131.22
2017/2/9,132.42,28321440,131.65,132.445,131.12
2017/2/10,132.12,20046250,132.46,132.94,132.05
2017/2/13,133.29,22989980,133.08,133.82,132.75
2017/2/14,135.02,33054500,133.47,135.09,133.25
2017/2/15,135.51,35578640,135.52,136.27,134.62
2017/2/16,135.345,22539860,135.67,135.9,134.8398
2017/2/17,135.72,22163280,135.1,135.83,135.1
2017/2/21,136.7,24487200,136.23,136.75,135.98
2017/2/22,137.11,20769030,136.43,137.12,136.11
2017/2/23,136.53,20762360,137.38,137.48,136.3
2017/2/24,136.66,21754600,135.91,136.66,135.28
2017/2/27,136.93,20222210,137.14,137.435,136.28
2017/2/28,136.99,23446340,137.08,137.435,136.7
2017/3/1,139.79,36362440,137.89,140.15,137.595
2017/3/2,138.96,26170690,140,140.2786,138.76
2017/3/3,139.78,21555370,138.78,139.83,138.59
2017/3/6,139.34,21229890,139.365,139.77,138.5959
2017/3/7,139.52,17439210,139.06,139.98,138.79
2017/3/8,139,18695500,138.95,139.8,138.82
2017/3/9,138.68,22117750,138.74,138.79,137.05
2017/3/10,139.14,19578920,139.25,139.3571,138.64
2017/3/13,139.2,17048800,138.85,139.43,138.82
2017/3/14,138.99,15281850,139.3,139.65,138.84
2017/3/15,140.46,25676720,139.41,140.7501,139.025
2017/3/16,140.69,19173780,140.72,141.02,140.26
2017/3/17,139.99,43700570,141,141,139.89
2017/3/20,141.46,21258100,140.4,141.5,140.23
2017/3/21,139.84,39461130,142.11,142.8,139.73
2017/3/22,141.42,25804820,139.845,141.6,139.76
2017/3/23,140.92,20299310,141.26,141.5844,140.61
2017/3/24,140.64,22355140,141.5,141.74,140.35
2017/3/27,140.88,23531670,139.39,141.22,138.62
2017/3/28,143.8,33348400,140.91,144.04,140.62
2017/3/29,144.12,29174040,143.68,144.49,143.19
2017/3/30,143.93,21189000,144.19,144.5,143.5
2017/3/31,143.66,19576480,143.72,144.27,143.01
2017/4/3,143.7,19970040,143.71,144.12,143.05
2017/4/4,144.77,19865300,143.25,144.89,143.17
2017/4/5,144.02,27649500,144.22,145.46,143.81
2017/4/6,143.66,21131040,144.29,144.52,143.45
2017/4/7,143.34,16658660,143.73,144.18,143.27
2017/4/10,143.17,18904680,143.6,143.8792,142.9
2017/4/11,141.63,30341520,142.94,143.35,140.06
2017/4/12,141.8,20320420,141.6,142.15,141.01
2017/4/13,141.05,17775510,141.91,142.38,141.05
2017/4/17,141.83,16529130,141.48,141.88,140.87
2017/4/18,141.2,14676420,141.41,142.04,141.11
2017/4/19,140.68,17302160,141.88,142,140.45
2017/4/20,142.44,23294040,141.22,142.92,141.16
2017/4/21,142.27,17290900,142.44,142.68,141.85
2017/4/24,143.64,17117710,143.5,143.95,143.18
2017/4/25,144.53,18325720,143.91,144.9,143.87
2017/4/26,143.68,19998050,144.47,144.6,143.3762
2017/4/27,143.79,14198660,143.923,144.16,143.31
2017/4/28,143.65,20783460,144.09,144.3,143.27
2017/5/1,146.58,33498270,145.1,147.2,144.96
2017/5/2,147.51,44182930,147.54,148.09,146.84
2017/5/3,147.06,45579740,145.59,147.49,144.27
2017/5/4,146.53,23345970,146.52,147.14,145.81
2017/5/5,148.96,27254850,146.76,148.98,146.76
2017/5/8,153.01,48670440,149.03,153.7,149.03
2017/5/9,153.99,38907940,153.87,154.88,153.45
2017/5/10,153.26,25779060,153.63,153.94,152.11
2017/5/11,153.95,27236290,152.45,154.07,152.31
2017/5/12,156.1,32493770,154.7,156.42,154.67
2017/5/15,155.7,25912270,156.01,156.65,155.05
2017/5/16,155.47,19994270,155.94,156.06,154.72
2017/5/17,150.25,50674280,153.6,154.57,149.71
2017/5/18,152.54,33520150,151.27,153.34,151.13
2017/5/19,153.06,26892850,153.38,153.98,152.63
2017/5/22,153.99,22930630,154,154.58,152.91
2017/5/23,153.8,19906170,154.9,154.9,153.31
2017/5/24,153.34,19201820,153.84,154.17,152.67
2017/5/25,153.87,19217810,153.73,154.35,153.03
2017/5/26,153.61,21895020,154,154.24,153.31
2017/5/30,153.67,20118620,153.42,154.43,153.33
2017/5/31,152.76,24452750,153.97,154.17,152.38
2017/6/1,153.18,16383610,153.17,153.33,152.22
2017/6/2,155.45,27715140,153.58,155.45,152.89
2017/6/5,153.93,25277680,154.34,154.45,153.46
2017/6/6,154.45,26591850,153.9,155.81,153.78
2017/6/7,155.37,21017560,155.02,155.98,154.48
2017/6/8,154.99,21144040,155.25,155.54,154.4
2017/6/9,148.98,64782910,155.19,155.19,146.02
2017/6/12,145.42,72187710,145.74,146.09,142.51
2017/6/13,146.59,34089190,147.16,147.45,145.15
2017/6/14,145.16,31454590,147.5,147.5,143.84
2017/6/15,144.29,31642900,143.32,144.4798,142.21
2017/6/16,142.27,50264540,143.78,144.5,142.2
2017/6/19,146.34,32203640,143.66,146.74,143.66
2017/6/20,145.01,24877950,146.87,146.87,144.94
2017/6/21,145.87,21247590,145.52,146.0693,144.61
2017/6/22,145.63,19082170,145.77,146.7,145.1199
2017/6/23,146.28,35421310,145.13,147.16,145.11
2017/6/26,145.82,25674500,147.17,148.28,145.38
2017/6/27,143.73,24725210,145.01,146.16,143.62
2017/6/28,145.83,22052920,144.49,146.11,143.1601
2017/6/29,143.68,31450520,144.71,145.13,142.28
2017/6/30,144.02,22986960,144.45,144.96,143.78
2017/7/3,143.5,14277850,144.88,145.3001,143.1
2017/7/5,144.09,21550270,143.69,144.79,142.7237
2017/7/6,142.73,24110330,143.02,143.5,142.41
2017/7/7,144.18,18527000,142.9,144.75,142.9
2017/7/10,145.06,21080580,144.11,145.95,143.37
2017/7/11,145.53,18647220,144.73,145.85,144.38
2017/7/12,145.74,24833800,145.87,146.18,144.82
2017/7/13,147.77,25080500,145.5,148.49,145.44
2017/7/14,149.04,20117070,147.97,149.33,147.33
2017/7/17,149.56,23765710,148.82,150.9,148.57
2017/7/18,150.08,17837130,149.2,150.13,148.67
2017/7/19,151.02,20859830,150.48,151.42,149.95
2017/7/20,150.34,17170490,151.5,151.74,150.19
2017/7/21,150.27,25111310,149.99,150.44,148.88
2017/7/24,152.09,21466370,150.58,152.44,149.9
2017/7/25,152.74,18798250,151.8,153.84,151.8
2017/7/26,153.46,15649120,153.35,153.93,153.06
2017/7/27,150.56,32429770,153.75,153.99,147.3
2017/7/28,149.5,17192770,149.89,150.23,149.19
2017/7/31,148.73,19690420,149.9,150.33,148.13
2017/8/1,150.05,33669020,149.1,150.22,148.41
2017/8/2,157.14,69726440,159.28,159.75,156.16
2017/8/3,155.57,26604140,157.05,157.21,155.02
2017/8/4,156.39,20514810,156.07,157.4,155.69
2017/8/7,158.81,21827400,157.06,158.92,156.6701
2017/8/8,160.08,36127490,158.6,161.83,158.27
2017/8/9,161.06,26060430,159.26,161.27,159.11
2017/8/10,155.32,39636190,159.9,160,154.63
2017/8/11,157.48,26208970,156.6,158.5728,156.07
2017/8/14,159.85,22074760,159.32,160.21,158.75
2017/8/15,161.6,29377630,160.66,162.195,160.14
2017/8/16,160.95,27607370,161.94,162.51,160.15
2017/8/17,157.86,27377960,160.52,160.71,157.84
2017/8/18,157.5,27391950,157.86,159.5,156.72
2017/8/21,157.21,26330070,157.5,157.89,155.1101
2017/8/22,159.78,21564890,158.23,160,158.02
2017/8/23,159.98,19376940,159.07,160.47,158.88
2017/8/24,159.27,19782170,160.43,160.74,158.55
2017/8/25,159.86,25184600,159.65,160.56,159.27
2017/8/28,161.47,25649890,160.14,162,159.93
2017/8/29,162.91,29451050,160.1,163.12,160
2017/8/30,163.35,27215770,163.8,163.89,162.61
2017/8/31,164,26729940,163.64,164.52,163.48
2017/9/1,164.05,16564340,164.8,164.94,163.63
2017/9/5,162.08,29491910,163.75,164.25,160.56
2017/9/6,161.91,21610300,162.71,162.99,160.52
2017/9/7,161.26,21905160,162.09,162.24,160.36
2017/9/8,158.63,28411740,160.86,161.15,158.53
2017/9/11,161.5,31506890,160.5,162.05,159.89
2017/9/12,160.86,71574560,162.61,163.96,158.77
2017/9/13,159.65,44866280,159.87,159.96,157.91
2017/9/14,158.28,23637310,158.99,159.4,158.09
2017/9/15,159.88,48846060,158.47,160.97,158
2017/9/18,158.67,28157630,160.11,160.5,157.995
2017/9/19,158.73,20565620,159.51,159.77,158.44
2017/9/20,156.07,52126240,157.9,158.26,153.83
2017/9/21,153.39,37350060,155.8,155.8,152.75
2017/9/22,151.89,46575410,152.02,152.27,150.56
2017/9/25,150.55,44366140,149.99,151.83,149.16
2017/9/26,153.14,35907770,151.78,153.92,151.69
2017/9/27,154.23,25402270,153.8,154.7189,153.54
2017/9/28,153.28,21983410,153.89,154.28,152.7
2017/9/29,154.12,26204670,153.21,154.13,152
2017/10/2,153.81,18631540,154.26,154.45,152.72
2017/10/3,154.48,16216800,154.01,155.09,153.91
2017/10/4,153.48,20088940,153.63,153.86,152.46
2017/10/5,155.39,21215870,154.18,155.44,154.05
2017/10/6,155.3,17223790,154.97,155.49,154.56
2017/10/9,155.84,16243080,155.81,156.73,155.485
2017/10/10,155.9,15603520,156.055,158,155.1
2017/10/11,156.55,16861450,155.97,156.98,155.75
2017/10/12,156,16380570,156.35,157.37,155.7299
2017/10/13,156.99,16367780,156.73,157.28,156.41
2017/10/16,159.88,24093300,157.9,160,157.65
2017/10/17,160.47,18969700,159.78,160.87,159.23
2017/10/18,159.76,16252850,160.42,160.71,159.6
2017/10/19,155.98,42357420,156.75,157.08,155.02
2017/10/20,156.25,23907540,156.61,157.75,155.96
2017/10/23,156.17,21888930,156.89,157.69,155.5
2017/10/24,157.1,17633730,156.29,157.42,156.2
2017/10/25,156.41,21175670,156.91,157.55,155.27
2017/10/26,157.41,16916650,157.23,157.8295,156.78
2017/10/27,163.05,44387770,159.29,163.6,158.7
2017/10/30,166.72,44651420,163.89,168.07,163.72
2017/10/31,169.04,35779520,167.9,169.6499,166.94
2017/11/1,166.89,33482970,169.87,169.94,165.61
2017/11/2,168.11,39668100,167.64,168.5,165.28
2017/11/3,172.5,59332210,174,174.26,171.12
2017/11/6,174.25,34770480,172.365,174.99,171.72
2017/11/7,174.81,24332120,173.91,175.25,173.6
2017/11/8,176.24,24358920,174.66,176.24,174.33
2017/11/9,175.88,29422610,175.11,176.095,173.14
2017/11/10,174.67,25129510,175.11,175.38,174.27
2017/11/13,173.97,16956290,173.5,174.5,173.4
2017/11/14,171.34,24683350,173.04,173.48,171.18
2017/11/15,169.08,28998220,169.97,170.3197,168.38
2017/11/16,171.1,23598650,171.18,171.87,170.3
2017/11/17,170.15,21884010,171.04,171.39,169.64
2017/11/20,169.98,16041550,170.29,170.56,169.56
2017/11/21,173.14,25047130,170.78,173.7,170.78
2017/11/22,174.96,25558680,173.36,175,173.05
2017/11/24,174.97,14026670,175.1,175.5,174.6459
2017/11/27,174.09,20591090,175.05,175.08,173.34
2017/11/28,173.07,26387240,174.3,174.87,171.86
2017/11/29,169.48,41459120,172.63,172.92,167.16
2017/11/30,171.85,41484540,170.43,172.14,168.44
2017/12/1,171.05,39735110,169.95,171.67,168.5
2017/12/4,169.8,32512580,172.48,172.62,169.63
2017/12/5,169.64,27315530,169.06,171.52,168.4
2017/12/6,169.01,28397810,167.5,170.2047,166.46
2017/12/7,169.32,25656110,169.03,170.44,168.91
2017/12/8,169.37,23285760,170.49,171,168.82
2017/12/11,172.67,34260890,169.2,172.89,168.79
2017/12/12,171.7,19088170,172.15,172.39,171.461
2017/12/13,172.27,23402510,172.5,173.54,172
2017/12/14,172.22,20442740,172.4,173.13,171.65
2017/12/15,173.97,40122100,173.63,174.17,172.46
2017/12/18,176.42,29385650,174.88,177.2,174.86
2017/12/19,174.54,27393660,175.03,175.39,174.09
2017/12/20,174.35,23451420,174.87,175.42,173.25
2017/12/21,175.01,20848660,174.17,176.02,174.1
2017/12/22,175.01,16339690,174.68,175.424,174.5
2017/12/26,170.57,33113340,170.8,171.47,169.679
2017/12/27,170.6,21477380,170.1,170.78,169.71
2017/12/28,171.08,16412270,171,171.85,170.48
2017/12/29,169.23,25938760,170.52,170.59,169.22
